title,brand,description,price/currency,price/value,stars,reviewsCount
"Diuyose Cartoon Anime Stickers, 100Pcs Cute Water Bottle Aesthetic Sticker for Waterbottle Laptop Skateboard, Kawaii Vinyl Waterproof Gift for Adults Kids Teens",Diuyose,,$,9.99,4.9,21.0
"Gogoonike Vertical Laptop Stand, Laptop Holder with Adjustable Dock, ABS Plastic Dual Slots Computer Holder Compatible with Smartphones, Tablet, Book, Document, Laptops(Up to 17.3 inches) and More",Gogoonike,Vertical Laptop Stand Holder,$,9.99,4.6,29.0
Aigemumy 50 PCS Funny Dog Stickers Cute Animal Sticker for Journaling Laptop Scrapbook Water Bottles Guitar Suitcase Phone Snowboard Waterproof Vinyl Gifts for Women Girl Kids Adult Teens,Aigemumy,,$,5.99,4.7,23.0
52 Pcs Wonka Movie Stickers Waterproof Vinyl Stickers for Water Bottles Laptop Skateboard Luggage Computer Stickers for Teens Girls Kids Boys,Shaari,"Stickers Are Waterproof. No Worries About Losing Their Viscosity Due To Moisture When Taking Them To Swimming Pools, Beaches, Camping Or Other Outdoor Places.",$,3.99,,
"Miwasion Compatible with MacBook Air 13 inch Case,2020 2019 2018 Release(A2337 M1 A2179 A1932) with Touch ID and 2 Pack Keyboard Protectors,Laptop Hard Shell (Black Wave Wavy)",Miwasion,"Package includes: 1* Top Box 1* Transparent bottom case 2* Keyboard Cover Material: Plastic   Product Features With this unique protective case, you can use your Macbook Air 13 inch efficiently and conveniently!  The product material is excellent, can be reused, and maintain the original new appearance.  Distilled from the original design, it is a best practice helper.   High quality and customer satisfaction are our tenet. We hope that customers can use our products and provide them with satisfactory service",$,19.99,4.6,64.0
"YANENAN Stickers for Kids, 200 PCS Cute Vinyl Waterproof Aesthetic Water Bottle Stickers for Laptop, PC, Skateboard, Luggage with Christmas, Birthday Party Gifts for Teens Girls, Kids",YANENAN,,$,4.99,4.6,2234.0
"LINKEET 96W USB C Power Adapter, Type C PD Wall Fast Charger Compatible with MacBook Pro/Air, Dell, Lenovo, HP, Chromebook, Laptops or Phones with USB-C Port, 6.6ft USB C to C Charging Cable, White",LINKEET,,$,24.99,5.0,2.0
"100W USB C Laptop Charger, Universal GaN III Power Supply Adapter, Replacement Foldable Fast Charger PD3.0 for MacBook Pro/Air, HP, Lenovo, Asus, Steam Deck, and All Type C Devices (5ft Cable)",TOBENONE,,$,28.79,4.7,88.0
"ARZOPA 16.1"" Portable Monitor Sleeve Bag, PU Leather Case for Travel Monitor Laptop, Grey",ARZOPA,,$,25.99,4.1,125.0
"Lacdo 360° Protective Laptop Sleeve Case for 15 inch New MacBook Air M2 2023 A2941, 15 inch MacBook Pro A1990 A1707, Dell XPS 15 Plus 2022-2020 Computer Bag, Shockproof, Water-Resistant, Black",Lacdo,,$,20.99,4.7,23411.0
"150 Pcs Funny Stickers,Meme Stickers,Funny Stickers for Adults,Vinyl Stickers Waterproof for Adults,Laptop Sticker Pack,Bumper,Water Bottles,Computer,Phone,Hard Hat,Car Stickers Decals",Pterosauria,,$,5.59,4.5,283.0
"LUXJA Rolling Teacher Bag with Laptop Compartment and Detachable Dolly, Multifunctional Rolling Teacher Tote Bag (Patent Pending), Black",LUXJA,,$,90.59,4.1,37.0
Thibault Aluminum Laptop Stand for Desk - Cooling Ergonomic Design - Fits MacBook Air Pro/DELL/HP/Lenovo/ThinkPad/Alienware - 13/14/15.6/16 -Easy Assembly- Ventilated Laptop Stand for Optimal Airflow,Thibault,,$,6.99,4.6,140.0
"USB C Docking Station Dual Displayport Monitor for Dell/Lenovo/HP Laptop,Quadruple Display USB-C Hub Multiple Monitor Adapter Dongle with 2 Display ports DP+HDMI+VGA+100W Type C PD Charging+3USB A 2.0",VVB,,$,39.99,4.3,2921.0
"Seorsok Compatible with MacBook Pro 13 inch Case M2 2023,2022,2021-2016 A2338 M1 A2251 A2289 A2159 A1989 A1708 A1706,Elegant Leather Plastic Hard Shell Transparent Keyboard Cover,Beige Woven Fabric",Seorsok,,$,30.99,4.6,175.0
"USB C Charger Block CALCINI GAN 65W PD Compact Fast Type C Wall Charger, for Laptop Charger Power Adapter MacBook Pro/Air, Galaxy S23/S22, Dell XPS13, Note 20/10+, Phone 15/Mini, iPad Pro, Pixel",CALCINI,,$,15.98,4.9,179.0
"200Pcs Water Bottle Stickers - Positive Inspirational Gym Waterproof Vinyl Stickers for Water Bottles with Cute Quote Motivational Stickers for Kids Adults, Sticker for Laptop Planner Letter Stickers",Imarisha,,$,3.99,4.9,13.0
"JSYAVG Popular Singer Taylor Stickers 100 Pcs, Vinyl Waterproof Stickers for Water Bottles Laptop Phone Guitar, Swift Ablum Stickers for Adult, Gifts for Teens, Music Fans,Party Favors",JSYAVG,"Cute Singer Stickers Pack 100PCSLooking for TS merch for Singer fans?These TS singer stickers may be a good choice!!!Material:High quality vinyl PVC (without trace when teared off)Size:Between 1"" to 2""Waterproof:100% waterproofHigh-quality printingPackage includes:100 PCS TS Singer Stickers",$,6.99,4.7,8.0
100Pcs Taylor Stickers for Water Bottle Kids - Pop Music Singer Swift Ablum Stickers for Girls Waterproof Vinyl Taylor Stickers for Taylor Fans Gifts Reusable Residue-Free Stickers for Kids,Imarisha,,$,6.29,4.8,1498.0
Taylor Stickers 50pcs Singer Stickers | Merch | Accessories | Sticker Pack | Vinyl | Band Stickers | Guitar Stickers | Rock Band Stickers | Rock Stickers | Sticker Album | Water Bottle | Swift Sticker,COOLCOOLDE,"Product Name: Swift Stickers Material: PVC Quantity:50PCS Size:1.97-3.15inch(5-8cm) HOW to Use: Get your stickers, clean the surface, sticker on, then use your imagination to create works now! Product Feature: #Perfect to embellish Laptops, Macbook, Trackpads, Keyboards, Backpacks, Skateboards, Luggage, Water Bottles, Scrapbooks, Mirrors, Notebooks, Journals, Cars, Bumpers, Bikes, Bedroom, Travel Case, Motorcycle, Snowboard, PS4, XBOX ONE. #High quality , All our Laptop Stickers are made of superior vinyl PVC. It’s waterproof and sun-proof. The color hardly fades out, you just need to use your imagination and create works with our Graffiti Vinyl Stickers! #Best gifts for Taylor fans",$,6.99,4.5,52.0
"Bonitzdm 120PCS Coquette Aesthetic Stickers,Cartoon Graffiti Sticker,Water Bottles Laptop Pink Decal ，for Phone Cases, Laptop - Coquette Room Decor Vintage, Coquette Accessories",Bonitzdm,"120PCS Coquette Aesthetic Stickers,Cartoon Graffiti Sticker,Water Bottles Laptop Pink Decal ，for Phone Cases, Laptop - Coquette Room Decor Vintage, Coquette Accessories Feature: 1. Sunscreen and waterproof! Safe and environmentally friendly, no fading. 2. The picture is clear and the printing is exquisite. 3. Easy to remove without leaving residue. 4. Easy to peel off and stick to other places. Materials: Vinyl PVC. Quantity: 120 Pcs. Easy to ues: -Get the sticker and tear off paper on the back. -Paste the sticker firmly on the surface of the object without leaving gaps. -If it is not pasted correctly, you can tear it off and paste it again. -If you want to make it stronger, please blow it with the hot air of a hair dryer and gently press it with your hand to make it flat. Warm tip: These stickers are not suitable for rough, uneven and dirty surfaces.",$,7.99,4.9,11.0
"OWTEMLKE Glare Film 9H Hardness, 6.5x10 Inch Anti-Glare Protector with Ultra-Thin Design Blue Light Filter, Reduce Reflection and Glare, Surface Scratch-Resistant, Eye Protection for sizes up to 11.5",OWTEMLKE,"Crafted with precision using optical nano-coating materials, faithfully restores real-life scenes while maintaining screen clarity for the ultimate viewing experience",$,194.97,,
"LOVEVOOK 40L Large Travel Backpack for Women Men, 17 Inch Carry on Backpack for Traveling on Airplane, Personal Item Bag Airline Approved, Business Causal Weekender Backpack, Black-Brown",LOVEVOOK,,$,39.98,4.8,92.0
"BAGSMART 15-16 inch Laptop Sleeve with Handle, Puffy Padded Laptop Case Bag, Portable MacBook Case Sleeve Fitted with MacBook Air 15.6 inch, MacBook pro 16 inch, Computer Sleeve Fitted with Dell,HP",BAGSMART,,$,21.98,4.5,218.0
"NEWHEY Laptop Bag 17.3 Inch Laptop Briefcase for Women Men Waterproof Shoulder Messenger Bag Large Computer Bag for Business Office Work College, Black",NEWHEY,,$,29.99,4.4,106.0
"200Pcs Taylor Music Stickers, Swift Ablum Stickers Include 1989/Folklore/Speaknow/Midnight, Waterproof Swift Stickers for Water Bottles, Laptops,Music Fans,Party Favors Decorations Supplies Gifts",YOULEY,,$,8.99,,
"DWQOO Extra Large 40L Travel Backpack For Women,Person Item Flight Approved Carry On Bag Fits TSA 17.3 Inch Laptop,Pink",DWQOO,,$,19.99,4.8,213.0
"LOVEVOOK Travel Backpack Women as Personal Item Flight Approved, TSA 17.3inch Laptop Backpack with 3 Packing Cubes College Casual Carry On Daypack for Weekender Overnight Hiking, Pink",LOVEVOOK,,$,32.62,4.7,201.0
Dell Laptop Charger 65W Watt USB Type C AC Power Adapter Include Power Cord for Dell Latitude 3340 3440 3540 5340 5440 5540 7340 7440 7640 9440 2in1,Dell,"First New Genuine Original Dell AC Adapter with non-retail packaging，3FT Power cord  Second Output: 65W(32.5A-20V),45W(10V-3A),27W(9V-3A),15W(5V-3A),USB Type C tip  Third Compatible SKU or DP/N: 0WMDHR,0VT148,0CJG9W,0T3JDJ,723JG  Fourth Compatible Factory Model: LA65NM190,HA65NM190,HKA65NM200  Fifth Compatible Computer Model:  XPS 12 9250 XPS 13 9350 9360 9365-2in1 9370 9380 Latitude 7370 7390 7275 7280 7290 7480 7490 5480 5490 5580 5590 5280 5290 5175 5179",$,32.0,5.0,1.0
"STOON Laptop Stand Adjustable Height, Ergonomic Portable Laptop Holder Riser for Desk, Aluminum Foldable Computer Notebook Stand Compatible with MacBook Air Pro, Dell XPS, HP (10-16"") -Black",STOON,,$,22.99,4.7,420.0
"FISYOD Foldable Laptop Table, Portable Lap Desk Bed Table Tray, Laptop Stand with Cup Holder & Tablet Slot & Lifting Handle for Working Writing Drawing & Eating (Pink)",FISYOD,,$,29.99,4.4,358.0
"Baseus USB C Docking Station, 10Gbps USB C Hub with 3 USB A/C Ports, 4K@60Hz HDMI, Gigabit Ethernet, 100W PD, 6 in 1 USB Hub for Laptop Compatible for iPhone 15/Dell/HP/Mac/iPad/Microsoft/Steam Deck",Baseus,,$,35.99,4.6,60.0
"Cartoon Game Stickers,50 PCS Aesthetic Waterproof Trolls -3 Stickers,Vinyl Stickers for Water Bottle,Laptop,Phone,Skateboard Stickers for Teens Girls Kids (Trolls)",SINKWER,"Theme:Cartoon Trolls StickersQuantity: 50 PcsMaterial: PVCSize: about 2- 3.5 inFeatures:1, Clear picture and exquisite printing2, Can easily peel off and stick on other place3, Sun protection and Waterproof! The color hardly fades outQ&A:Q1:Do stickers leave residue?A1:No. Made with the non-marking glue, it will not leave any residue when transferring or removing, and will not damage the surface of the sticker.Q2:Are the stickers delivered randomly and will they be repeated?A2:Be at ease,our stickers are not delivered randomly, all sticker patterns are different and will not repeat.Our stickers are well made with excellent materials, pleasant patterns and each of which has been carefully selected.How to use:Clean the surface and keep it have no water, then stick on wherever you like.Start your DIY decoration.Thank you for your choice and have a pleasant shopping experience!",$,6.99,4.2,10.0
"50PCS Cartoon Stickers Stickers for Water Bottles,Vinyl Aesthetic Waterproof Stickers Laptop Skateboard Computer Stickers Deco Gifts. (A2)",Generic,"The transaction is just the beginning, and the service never stops!",$,5.99,4.6,27.0
"LOVEVOOK Laptop Bags for Women, 15.6 inch Waterproof Work Tote Bag with Clutch, Professional Teacher College Computer Purse Lightweight Shoulder Bag Travel, Quilted Black",LOVEVOOK,,$,34.99,4.8,8.0
School Backpack for Teens Large Corduroy Bookbag Lightweight 17 inch Laptop Bag for Girls Women Casual High School College (Corduroy-Beige),BTOOP,,$,22.99,4.5,286.0
"60Pcs Acotar Merchandise Stickers Pack, Book Graphic Vinyl Waterproof Sticker Book Bookish Decals for Water Bottle,Laptop,Phone,Skateboard,Scrapbooking,Bumper Gifts for Kids Teens Adults for Party",LHST,"These phone stickers are a coolest gift for this Acotar Merchandise enthusiast. Beautiful design, cool and personalized, everyone who sees this sticker will like it.High QualityAll stickers made of high quality vinyl, sunscreen and waterproof, not easy to fade. Keep the color bright for a long time, so that your items can always attract people's attention.Enjoy DIYYou can use these water bottle stickers to DIY decor your mug water bottle skateboard luggage laptop computer bicycle guitar ect. Make this items more interesting and conspicuous. You can also design with friends and family how to decorate these items and enjoy the happy time of DIY togetherTipsBefore using it, clean the surface where you want to use the skateboard stickers, then stick them directly on the surface. You must stick it on a smooth surface.Package IncludeMovie Stickers *50",$,4.99,4.6,101.0
"EMPSIGN Laptop Backpack Purse for Women and Men with USB Charging Port, 15.6 Inch Travel Water Resistant Quilted Backpack, High-Capacity 30L Work Business Computer Backpack, Quilted Black",EMPSIGN,,$,26.99,4.8,31.0
"Capolo Travel Backpack for Women Men Waterproof Laptop Backpack Airlines Approved Carry On Backpack Bag Computer Bookbag for Business, Work, Traveling Fits 15.6 Inch Laptop(Black)",Capolo,,$,19.99,5.0,1.0
"100PCS Singer Stickers for Water Bottles, Music Stickers for Laptop - Guitar Stickers Car Scrapbook Skateboard Suitcase for Kids Girl Teen.",dokikalos,,$,5.99,,
"KELOOF 100 Pieces Colorful Cartoon Kids Stickers,Cute Aesthetic Waterproof Vinyl Animal Stickers for Kids,Girls and Teens Decoration Water Bottle Laptop Phone Skateboard",KELOOF,,$,11.99,,
Spring Festival Stickers |50Pcs Chinese New Year Waterproof Vinyl Decals for Cup Water Bottles Laptop Luggage Computer Mobile Phone Guitar Skateboard,UNGNU,These Spring Festival Stickers are very vivid and beautiful; You just need to use your imagination and creative works with these funny Stickers!.  Materials: Vinyl PVC.  Sticker Quantity: 50 Pcs.  Stickers Size: About 1.97-3.15 inch / 5-8 cm each.  Package Size: 3.94 x 3.15 x 0.47 inch / 10 x 8 x 1.2 cm.  Package Weight: 0.89 oz / 25 g.,$,6.99,4.8,6.0
100Pcs Lilo & Stitch Stickers Waterproof Vinyl Stickers Gifts Cartoon Stickers for Water Bottle Luggage Bike Car Decals for Kids Teens Girls Adults,TOOREEY,100Pcs Lilo & Stitch Stickers Waterproof Vinyl Stickers Gifts Cartoon Stickers,$,5.99,,
"100 Pcs Kuromi Kawaii Kids Stickers,Cute Anime Stickers for Teens Vinyl Waterproof ，StickersPhone,Laptop,Bottles,Skateboard,Computer,Phone,Anime Sticker Pack,Gifts for Cartoon Fan.(Black)",EAVIN GARY,,$,6.99,4.6,204.0
"MOSISO 360 Protective Laptop Shoulder Bag, 15-15.6 inch Computer Bag Compatible with MacBook Pro 16, HP, Dell, Lenovo, Asus Notebook, Side Open Messenger Bag with 4 Zipper Pockets & Handle, Teal Green",MOSISO,,$,35.99,4.6,419.0
"MOSISO Compatible with MacBook Air 15 inch Case 2023 2024 Release A2941 M2 Chip with Liquid Retina Display Touch ID, Plastic Hard Shell&Keyboard Cover&Screen Protector&Storage Bag, Crystal Clear",MOSISO,,$,14.99,4.3,293.0
bagswan Large Travel Backpack for Women - 17 Inch 40L Carry On Laptop Bag Flight Approved Personal Item Daypack Weekender Traveling TSA Business Bag Luggage Waterproof for Airplane 3 Packing Cubes,bagswan,,,,,
"50Pcs Be Kind Stickers Pack, Inspirational Quote, Kindness Aesthetic Decal | Vinyl Waterproof Kindness Stickers for Water Bottle,Laptop,Phone,Scrapbook,Journal Gifts for Kids Teens Adults(Be Kind)",SBOBUY,"50Pcs Be Kind Stickers Pack, Inspirational Quote, Motivational Saying Aesthetic Decal | Vinyl Waterproof Kindness Stickers for Water Bottle,Laptop,Phone,Scrapbook,Journal Gifts for Kids Teens Adults(Be kind)",,,4.7,9.0
TigerDad Mobile Adjustable Height Laptop Stand PC Computer Portable Notebook Swivel Laptop Desk Rolling Table Desk Cart Tiltable with Wheels Casters& Mouse Pad Table,TigerDad,,$,49.99,5.0,1.0
"Large Travel Laptop Backpack for Women, 40L Carry On Backpack Flight Approved, Backpack with Laptop Compartment, USB Charging Port, Shoes Compartment, Luggage Backpack for Weekend Traveler Women Man",FIXITOK,,$,19.99,4.5,99.0
"Travel Backpack Women, Carry On Backpack for Men, Hiking Laptop Backpack Waterproof Outdoor Sports Rucksack Casual Daypack, Beige Brown",WONHOX,Backpack,$,36.99,4.6,8984.0
"DWQOO Travel Backpack For Women,Person Item Flight Approved Carry On Bag Fits 17.3 Inch Laptop,Expandable Waterproof Casual Stylish Daypack,Light cyan",DWQOO,,$,21.49,4.8,213.0
"Dungeons and Dragons Stickers- 100Pcs Vinyl Waterproof Stickers for Teens, Gifts for Laptops, Car, Wall, Phone",YOYEE,"D&D - dungeons and dragons stickers. Vinyl Waterproof Stickers for Laptops, Water Bottles, Computers, Phone① Contains 100 different Dungeons & Dragons themed stickers.② Length and width dimensions: 2~3 inches.③ Smooth surface can be pasted more firmly.④ If you need to tear it off, use a hair dryer or hot water to remove it without leaving traces.",$,6.55,4.7,59.0
Soonjet for MacBook Pro 13 inch Case [100% Color Match] [Ultra Thin Armor] 2022-2016 M2 M1 A2338 A2289 A2251 A2159 A1989 A1706 A1708 Protective Hard Shell Matte Cover for Laptop - Space Gray Clear,soonjet,,$,19.99,4.8,27.0
"PYS Magnetic Privacy Screen Filter for 14 Inch 16:9 Laptop - Computer Screen Privacy Shield, Anti-Glare Blue Light Filter, Detachable Privacy Screen Protector for Lenovo Thinkpad, HP Elitebook, Dell",PYS,,$,24.79,4.3,1039.0
LOVEVOOK Laptop Bag for Women 15.6 Inch Laptop Tote Bag Waterproof Work Bag Computer Bag Leather Briefcase Business Office Bag Large Capacity Handbag Shoulder Bag,LOVEVOOK,,$,31.99,5.0,7.0
"50pcs Gilmor Girl Stickers for Laptop, Funny US TV Series Waterproof Vinyl Graffiti Decals for Water Bottles Phone Scrapbook Notebook Luggage Bike Guitar Skateboard",BJSK,,$,5.99,4.6,76.0
Replacement Mac Book Pro Charger - 60W T-Tip Magnetic Charger Power Adapter Compatible with Mac Book Air/Mac Book Pro 13-Inch Retina Display(After 2012),RACAHOO,Replacement Mac Book Pro Charger - 60W T-Tip Magnetic Charger Power Adapter Compatible with Mac Book Air/Mac Book Pro 13-Inch Retina Display(After 2012),$,15.99,5.0,2.0
"LOVEVOOK Large Travel Backpack for Women,Carry on Backpack Flight Approved,Personal Item Backpack Travel Bag with 3 Packing Cubes,Waterproof Back Pack TSA Fit 17inch Laptop Luggage with USB Port",LOVEVOOK,,$,40.96,4.9,24.0
"EooCoo Compatible with MacBook Air 15 inch Case 2024 2023 Release A2941 M2 Chip Liquid Retina Display & Touch ID, Glitter Plastic Hard Shell Case + Keyboard Skin + Screen Protector, Sparkly Clear",EooCoo,,$,14.1,4.5,314.0
USB C Hub USB Splitter 7 in 1 USB Extender with 4 USB Port 1 USBC Port TF/SD Card Reader Audio Output Compatible with MacBook/Pad Pro/Dell/HP Laptop/Phones…,LUKCOZMO,,$,18.99,4.3,42.0
"65W USB C Charger, Compact and Foldable GaN Fast Travel Charger for MacBook Pro, MacBook Air, Samsung Galaxy, i Pad Pro, and All USB C Devices, 5.9 ft USB C to C Cable Included",ELECBRAiN,,$,13.99,4.9,22.0
65W/45W Laptop Charger Fit for Dell Inspiron 14 15 16 3000 5000 3511 5620 5625 3520 3521 3525 3552 5420 5425 5579 Latitude 3310 3420 Vostro 3425 3520 5630 AC Power Supply Adapter Cord,GELINTO,,$,17.99,4.4,25.0
"50PCS Singer Stickers, Vinyl Waterproof Stickers for Girls, Music Albums Stickers Decoration, Rock Band Stickers, Skateboard, Laptop, Water Bottles, Scrapbook for Fans",wonfurd,,$,5.99,4.8,44.0
"Lemorele USB C Dual Monitor Docking Station for Dell/HP/Lenovo/Surface Laptop, 12 in 1 Triple Display USB C Hub Adapter w/2 HDMI 4K+VGA+10Gbps 2 USB3.2+2 USB2.0+100W PD+USB C Data+SD/TF+Audio",Lemorele,,$,45.99,4.2,4754.0
"140W USB C Charger Power Adapter for MacBook Pro 13 14 15 16 inch, MacBook Air 13 15 inch, 2022 2023 M1 M2 Laptop Charger, iPad Pro,Compatible with Most USB-C Charging Cable and Devicess, PD3.1",BE•SELL,"Compatible with Macbook ProMac Book Pro 13-inch 2021, 2020, 2019, 2018, 2017, 2016 (A1706/ A1707/ A1708/ A1718/ A1989/ A2159)Mac Book Pro 14-inch 2021(A2442)Mac Book Pro 14-inch 2023(A2780)Mac Book Pro 15-inch 2021,2018, 2017, 2016 (A1706/ A1707/ A1708/ A1719)Mac Book Pro 16-inch 2023(A2779)Mac Book Pro 16-inch 2022,2021,2019(A2166,A2780)Compatible with Macbook AirMac Book Retina 12-inch Early 2017, 2016, 2015 (A1534/ A1540/ A1646)Mac Book Pro 13-inch 2020 (M1) (A2251/ A2289/ A2338)Mac Book Air 13-inch 2023(A2681)Mac Book Air 13-inch 2020 (New), 2019, 2018A (a2337 M1/ a2179/ a1932)Mac Book Air Retina 13-inch 2020(New), 2018,2019Mac Book Air 15-inch 2023(A2941)Compatible with any USB-C Tablets:Compatible with iPad Air 4/ Fourth Generation10.9-inch (A2072/ A2316/ A2324/ 2325)Compatible with iPad Pro 11-inch 2020, 2018 (A1934/ A1979/ A1980/ 2013/ A2068/ A2228/A2230/ A2231)Compatible with iPad Pro 12.9-inch 2020, 2018 (A1876/ A1895/ A1983/ A2014/ A2069/ A2229/ A2232/ A2233）",$,25.99,,
coowoz College Backpacks Black College Bags For Women Lightweight Travel Rucksack Casual Daypack Laptop Backpacks For Men Women,coowoz,"This casual backpack has multiple compartments, each with its own purpose.",$,14.99,,
"Travel Laptop Backpack, 17 Inch Extra Large Laptop Backpack with USB Charging Hole 45L Anti Theft Travel Backpack Water Resistant College Business Computer Bag Fit 17.3 Inch Laptop for Men Women Black",SDYSM,,$,29.99,4.7,30.0
New Slim 65W Dell Laptop Charger USB C for Dell Latitude 5420 5520 7480 7490 7420 Chromebook 3100 Dell XPS 13 9360 XPS15 9550 9560 DA65NM190 LA65NM190 Type C Dell AC Adapter Power Cord,HHamoyzs,,$,15.99,4.2,182.0
